"woocommerce-LoopProduct-link href","attachment-woocommerce_thumbnail src","woocommerce-loop-product__title","woocommerce-product-details__short-description","woocommerce-product-details__short-description 2","woocommerce-product-details__short-description 6","woocommerce-product-details__short-description 7"
"https://ii-vi.com/product/400g-fr4-qsfp-dd-optical-transceiver-2/","https://ii-vi.com/wp-content/uploads/2020/04/FTCD1333-300x300.jpg","400G-FR4 Gen 2 QSFP-DD Optical Transceiver",": QSFP-DD : 2 km 
: 425 Gb/s : 1310nm Band 
: 400G Ethernet Compliant","FTCD4313E2PxL","Wavelength","Protocol"
"https://ii-vi.com/product/400g-fr4-gen3-qsfp-dd-optical-transceiver/","https://ii-vi.com/wp-content/uploads/2020/04/FTCD1333-300x300.jpg","400G-FR4 Gen 3 QSFP-DD Optical Transceiver",": QSFP-DD : 2 km 
: 425 Gb/s : 1310nm Band 
: 400G Ethernet Compliant","FTCD4313E3PxL","Wavelength","Protocol"
"https://ii-vi.com/product/800g-2x400-dr4-osfp-optical-transceiver/","https://ii-vi.com/wp-content/uploads/2023/06/dr8-osfp-300x300.jpg","800G (2×400 DR4) OSFP Optical Transceiver",": OSFP : 500 m 
: 850 Gb/s : 1310 nm Band 
: 800G Ethernet Compatible, IB NDR","FTCE4517E1PxA","Wavelength","Protocol"
"https://ii-vi.com/product/800g-2x400-fr4-osfp-optical-transceiver/","https://ii-vi.com/wp-content/uploads/2023/06/2X400G-FR4-2-300x300.jpg","800G (2×400 FR4) OSFP Optical Transceiver",": OSFP : 2 km 
: 850 Gb/s : 1310 nm Band 
: 800G Ethernet Compatible, IB NDR","FTCE4717E1PCB","Wavelength","Protocol"
"https://ii-vi.com/product/800g-2x400-sr4-osfp-optical-transceiver/","https://ii-vi.com/wp-content/uploads/2023/06/800G_OSFP_SR8-300x300.jpg","800G (2×400 SR4) OSFP Optical Transceiver",": OSFP : 100 m 
: 850 Gb/s : 850nm Band 
: 800G Ethernet Compatible, IB NDR","FTCE8617E1PCA","Wavelength","Protocol"
"https://ii-vi.com/product/200gbase-fr4-2km-qsfp56-optical-transceiver/","https://ii-vi.com/wp-content/uploads/2022/10/FTCC1112E2PCL-300x300.jpg","200GBASE-FR4 2km QSFP56 Optical Transceiver",": QSFP56 : 2 km 
: 212.5 Gb/s : 1310nm Band 
: 200G Ethernet Compliant, IB HDR","FTCC1112E2PCL","Wavelength","Protocol"
"https://ii-vi.com/product/200gbase-fr4-500m-qsfp56-optical-transceiver/","https://ii-vi.com/wp-content/uploads/2022/10/FTCC1112E2PCL-300x300.jpg","200GBASE-FR4 500m QSFP56 Optical Transceiver",": QSFP56 : 500 m 
: 212.5 Gb/s : 1310nm Band 
: 200G Ethernet Compliant, IB HDR","FTCC1122E2PCL","Wavelength","Protocol"
"https://ii-vi.com/product/100g-parallel-mmf-100m-qsfp28-with-pigtail-transceiver/","https://ii-vi.com/wp-content/uploads/2020/04/FTLC9558-300x300.jpg","100G Parallel MMF 100m QSFP28 with Pigtail Transceiver",": QSFP28 : 100 m 
: 103.1 Gb/s : 850nm Band 
: 25G Ethernet Compliant, 100G Ethernet Compliant","FTLC9558REUM","Wavelength","Protocol"
"https://ii-vi.com/product/200gbase-sr4-qsfp56-optical-transceiver/","https://ii-vi.com/wp-content/uploads/2021/03/FTCC8612-300x300.jpg","200GBASE-SR4 QSFP56 Optical Transceiver",": QSFP56 : 150 m 
: 41.2 Gb/s : 850nm Band 
: 10x Fibre Channel Compatible, 40G Ethernet Compliant, IB QDR Compatible","FTCC8612E2PCM","Wavelength","Protocol"
"https://ii-vi.com/product/100g-parallel-mmf-100m-gen3-qsfp28-optical-transceiver/","https://ii-vi.com/wp-content/uploads/2020/04/100g-tc-n2-300x300.jpg","100G Parallel MMF 100m Gen3 QSFP28 Optical Transceiver",": QSFP28 : 100 m 
: 103.1 Gb/s : 850nm Band 
: 25G Ethernet Compliant, 100G Ethernet Compliant","FTLC9558REPM","Wavelength","Protocol"
"https://ii-vi.com/product/100g-ethernet-otu4-128g-fibre-channel-multirate-100m-gen2-qsfp28-optical-transceiver/","https://ii-vi.com/wp-content/uploads/2020/04/100g-tc-n2-300x300.jpg","100G Ethernet, OTU4 & 128G Fibre Channel Multirate 100m Gen2 QSFP28 Optical Transceiver",": QSFP28 : 100 m 
: 112 Gb/s : 850nm Band 
: OTN OTU4 Compliant, 25G Ethernet Compliant, 100G Ethernet Compliant","FTLC9555SEPM","Wavelength","Protocol"
"https://ii-vi.com/product/100g-parallel-mmf-with-reduced-or-no-fec-qsfp28-optical-transceiver/","https://ii-vi.com/wp-content/uploads/2020/04/100g-tc-n2-300x300.jpg","100G Parallel MMF with Reduced or No FEC QSFP28 Optical Transceiver",": QSFP28 : 100 m 
: 103.1 Gb/s : 850nm Band 
: 100G Ethernet Compliant, IB EDR Compliant","FTLC9555NEPM","Wavelength","Protocol"
"https://ii-vi.com/product/100g-parallel-mmf-100m-cpri-wireless-extended-temp-qsfp28-optical-transceiver/","https://ii-vi.com/wp-content/uploads/2020/04/100g-tc-n2-300x300.jpg","100G Parallel MMF 100m CPRI Wireless Extended Temp QSFP28 Optical Transceiver",": QSFP28 : 100 m 
: 103.1 Gb/s : 850nm Band 
: 100G Ethernet Compliant, Wireless CPRI Compliant","FTLC9555WEPM","Wavelength","Protocol"
"https://ii-vi.com/product/40g-100g-parallel-mmf-100m-qsfp28-optical-transceiver/","https://ii-vi.com/wp-content/uploads/2020/04/100g-tc-n2-300x300.jpg","40G/100G Parallel MMF 100m QSFP28 Optical Transceiver",": QSFP28 : 100 m 
: 103.1 Gb/s : 850nm Band 
: 40G Ethernet Compliant, 100G Ethernet Compliant","FTLC9555QEPM","Wavelength","Protocol"
"https://ii-vi.com/product/100g-parallel-mmf-100m-extended-temp-qsfp28-optical-transceiver/","https://ii-vi.com/wp-content/uploads/2020/04/100g-tc-n2-300x300.jpg","100G Parallel MMF 100m Extended Temp QSFP28 Optical Transceiver",": QSFP28 : 100 m 
: 103.1 Gb/s : 850nm Band 
: 100G Ethernet Compliant","FTLC9555REPM3","Wavelength","Protocol"
"https://ii-vi.com/product/128g-fibre-channel-parallel-100m-mmf-gen2-qsfp28-optical-transceiver/","https://ii-vi.com/wp-content/uploads/2020/04/100g-tc-n2-300x300.jpg","128G Fibre Channel Parallel 100m MMF Gen2 QSFP28 Optical Transceiver",": QSFP28 : 100 m 
: 112.2 Gb/s : 850nm Band 
: 8x Fibre Channel Compliant, 16x Fibre Channel Compliant, 32x Fibre Channel Compliant, 128x Fibre Channel Compliant","FTLC9555FEPM","Wavelength","Protocol"
"https://ii-vi.com/product/100g-cwdm4-2km-gen3-qsfp28-optical-transceiver/","https://ii-vi.com/wp-content/uploads/2020/04/FTLC1155RGPL-300x300.jpg","100G CWDM4 2km Gen3 QSFP28 Optical Transceiver",": QSFP28 : 2 km 
: 103.1 Gb/s : 1310nm Band 
: 100G Ethernet Compliant","FTLC1157RGPL","Wavelength","Protocol"
"https://ii-vi.com/product/100g-cwdm4-2km-gen2-qsfp28-optical-transceiver/","https://ii-vi.com/wp-content/uploads/2020/04/FTLC1155RGPL-300x300.jpg","100G CWDM4 2km Gen2 QSFP28 Optical Transceiver",": QSFP28 : 2 km 
: 103.1 Gb/s : 1310nm Band 
: 100G Ethernet Compliant","FTLC1155RGPL","Wavelength","Protocol"
"https://ii-vi.com/product/400g-cfp2-dco-digital-coherent-optics-transceiver/","https://ii-vi.com/wp-content/uploads/2020/04/FTCD-3312-300x300.jpg","400G CFP2-DCO Digital Coherent Optics Transceiver",": CFP2 : 1,000 km 
: 400 Gb/s : C-Band DWDM Tunable 
: OTN OTU4 Compatible, OTN OTUCn Compatible, 100G Ethernet Compatible, 200G Ethernet Compatible, 400G Ethernet Compatible","FTCD3312x1BCL","Wavelength","Protocol"
"https://ii-vi.com/product/100g-10km-ecwdm4-qsfp28-wireless-optical-transceiver/","https://ii-vi.com/wp-content/uploads/2020/04/FTLC1155-300x300.jpg","100G 4WDM eCWDM4 10km Wireless Optical Transceiver",": QSFP28 : 10 km 
: 103.1 Gb/s : 1310nm Band 
: 100G Ethernet Compliant, Wireless CPRI Compliant","FTLC1155WGPLC","Wavelength","Protocol"
"https://ii-vi.com/product/100g-10km-ecwdm4-qsfp28-optical-transceiver/","https://ii-vi.com/wp-content/uploads/2020/04/FTLC1155-300x300.jpg","100G 4WDM eCWDM4 10km Optical Transceiver",": QSFP28 : 10 km 
: 103.1 Gb/s : 1310nm Band 
: 100G Ethernet Compliant","FTLC1157RGPLA","Wavelength","Protocol"
"https://ii-vi.com/product/100g-cwdm4-lite-qsfp28-optical-transceiver/","https://ii-vi.com/wp-content/uploads/2020/04/FTLC1155RGPL6-300x300.jpg","100G CWDM4 Lite QSFP28 Optical Transceiver",": QSFP28 : 500 m 
: 103.1 Gb/s : 1310nm Band 
: 100G Ethernet Compliant","FTLC1155RGPL6","Wavelength","Protocol"
"https://ii-vi.com/product/100g-4wdm-elr4-20km-extended-temperature-qsfp28-optical-transceiver/","https://ii-vi.com/wp-content/uploads/2021/03/FTLC1154xDPLx-300x300.jpg","100G 4WDM eLR4 20km Extended Temperature QSFP28 Optical Transceiver",": QSFP28 : 20 km 
: 103.1 Gb/s : 1310nm Band 
: 100G Ethernet Compliant","FTLC1154RDPLC","Wavelength","Protocol"
"https://ii-vi.com/product/100g-4wdm-elr4-20km-industrial-temperature-qsfp28-optical-transceiver/","https://ii-vi.com/wp-content/uploads/2021/03/FTLC1154xDPLx-300x300.jpg","100G 4WDM eLR4 20km Industrial Temperature QSFP28 Optical Transceiver",": QSFP28 : 20 km 
: 103.1 Gb/s : 1310nm Band 
: 100G Ethernet Compliant","FTLC1154RDPLD","Wavelength","Protocol"
"https://ii-vi.com/product/100g-4wdm-elr4-dual-rate-otu4-20km-industrial-temperature-qsfp28-optical-transceiver/","https://ii-vi.com/wp-content/uploads/2021/03/FTLC1154xDPLx-300x300.jpg","100G 4WDM eLR4 Dual Rate OTU4 20km Industrial Temperature QSFP28 Optical Transceiver",": QSFP28 : 20 km 
: 103.1 Gb/s : 1310nm Band 
: 100G Ethernet Compliant","FTLC1154SDPLD","Wavelength","Protocol"
"https://ii-vi.com/product/100g-cwdm4-2km-extended-temperature-qsfp28-optical-transceiver/","https://ii-vi.com/wp-content/uploads/2021/03/tc100g-G-300x300.jpg","100G CWDM4 2km Extended Temperature QSFP28 Optical Transceiver",": QSFP28 : 2 km 
: 103.1 Gb/s : 1310nm Band 
: 100G Ethernet Compliant","FTLC1155RGPL3","Wavelength","Protocol"
"https://ii-vi.com/product/100g-cwdm4-2km-industrial-temperature-qsfp28-optical-transceiver/","https://ii-vi.com/wp-content/uploads/2021/03/tc100g-G-300x300.jpg","100G CWDM4 2km Industrial Temperature QSFP28 Optical Transceiver",": QSFP28 : 2 km 
: 103.1 Gb/s : 1310nm Band 
: 100G Ethernet Compliant","FTLC1155RGPL4","Wavelength","Protocol"
"https://ii-vi.com/product/100g-ecwdm4-10km-extended-temperature-qsfp28-optical-transceiver/","https://ii-vi.com/wp-content/uploads/2021/03/tc100g-b-300x300.jpg","100G eCWDM4 10km Extended Temperature QSFP28 Optical Transceiver",": QSFP28 : 10 km 
: 103.1 Gb/s : 1310nm Band 
: 100G Ethernet Compliant","FTLC1155RGPLC","Wavelength","Protocol"
"https://ii-vi.com/product/100g-ecwdm4-10km-industrial-temperature-qsfp28-optical-transceiver/","https://ii-vi.com/wp-content/uploads/2021/03/tc100g-b-300x300.jpg","100G eCWDM4 10km Industrial Temperature QSFP28 Optical Transceiver",": QSFP28 : 10 km 
: 103.1 Gb/s : 1310nm Band 
: 100G Ethernet Compliant","FTLC1155RGPLD","Wavelength","Protocol"
"https://ii-vi.com/product/100g-lr4-10km-multi-rate-qsfp28-optical-transceiver/","https://ii-vi.com/wp-content/uploads/2020/04/FTLC1154-300x300.jpg","100G LR4 10km Multi-Rate QSFP28 Optical Transceiver",": QSFP28 : 10 km 
: 112 Gb/s : 1310nm Band 
: 100G Ethernet Compliant","FTLC1156SDPL","Wavelength","Protocol"
"https://ii-vi.com/product/100gbase-lr4-10-km-gen2-qsfp28-optical-transceiver/","https://ii-vi.com/wp-content/uploads/2020/04/FTLC1154-300x300.jpg","100GBASE-LR4 10 km Gen2 QSFP28 Optical Transceiver",": QSFP28 : 10 km 
: 103.1 Gb/s : 1310nm Band 
: 100G Ethernet Compliant","FTLC1154RDPL","Wavelength","Protocol"
"https://ii-vi.com/product/100gbase-lr4-10km-qsfp28-optical-transceiver/","https://ii-vi.com/wp-content/uploads/2020/04/FTLC1154-300x300.jpg","100GBASE-LR4 10km QSFP28 Optical Transceiver",": QSFP28 : 10 km 
: 103.1 Gb/s : 1310nm Band 
: 100G Ethernet Compliant","FTLC1156RDPL","Wavelength","Protocol"
"https://ii-vi.com/product/100gbase-lr4-10km-extended-temperature-qsfp28-optical-transceiver/","https://ii-vi.com/wp-content/uploads/2020/04/FTLC1154-300x300.jpg","100GBASE-LR4 10km Extended Temperature QSFP28 Optical Transceiver",": QSFP28 : 10 km 
: 103.1 Gb/s : 1310nm Band 
: 100G Ethernet Compliant","FTLC1154RDPL3","Wavelength","Protocol"
"https://ii-vi.com/product/100gbase-lr4-10km-industrial-temperature-qsfp28-optical-transceiver/","https://ii-vi.com/wp-content/uploads/2020/04/FTLC1154-300x300.jpg","100GBASE-LR4 10km Industrial Temperature QSFP28 Optical Transceiver",": QSFP28 : 10 km : 103.1 Gb/s : 1310nm Band : 100G Ethernet Compliant","FTLC1154RDPL4","Wavelength","Protocol"
"https://ii-vi.com/product/100gbase-lr4-dual-rate-otu4-10km-industrial-temperature-qsfp28-optical-transceiver/","https://ii-vi.com/wp-content/uploads/2020/04/FTLC1154-300x300.jpg","100GBASE-LR4 Dual Rate OTU4 10km Industrial Temperature QSFP28 Optical Transceiver",": QSFP28 : 10 km : 103.1 Gb/s : 1310nm Band : 100G Ethernet Compliant","FTLC1154SDPL4","Wavelength","Protocol"
"https://ii-vi.com/product/100gbase-lr4-and-otu4-10-km-gen2-qsfp28-optical-transceiver/","https://ii-vi.com/wp-content/uploads/2020/04/FTLC1154-300x300.jpg","100GBASE-LR4 and OTU4 10 km Gen2 QSFP28 Optical Transceiver",": QSFP28 : 10 km 
: 112 Gb/s : 1310nm Band 
: OTN OTU4 Compliant, 100G Ethernet Compliant","FTLC1154SDPL","Wavelength","Protocol"
"https://ii-vi.com/product/400gbase-lr8-10km-cfp8-optical-transceiver/","https://ii-vi.com/wp-content/uploads/2020/04/FTLC1122-300x300.jpg","400GBASE-LR8 10km CFP8 Optical Transceiver",": CFP8 : 10 km 
: 425 Gb/s : 1310nm Band 
: 400G Ethernet Compliant","FTCD1314E1BCL","Wavelength","Protocol"
"https://ii-vi.com/product/400gbase-fr8-2km-cfp8-optical-transceiver/","https://ii-vi.com/wp-content/uploads/2020/07/FTCD1324E1BCL-300x300.jpg","400GBASE-FR8 2km CFP8 Optical Transceiver",": CFP8 : 2 km 
: 425 Gb/s : 1310nm Band 
: 400G Ethernet Compliant","FTCD1324E1BCL","Wavelength","Protocol"
"https://ii-vi.com/product/100gbase-lr4-10km-cfp4-optical-transceiver/","https://ii-vi.com/wp-content/uploads/2020/04/FTLC3341-300x300.jpg","100GBASE-LR4 10km CFP4 Optical Transceiver",": CFP4 : 10 km 
: 103.1 Gb/s : 1310nm Band 
: 100G Ethernet Compliant","FTLC1141RDNL","Wavelength","Protocol"
"https://ii-vi.com/product/100gbase-lr4-and-otn-multirate-10km-cfp4-optical-transceiver/","https://ii-vi.com/wp-content/uploads/2020/04/FTLC3341-300x300.jpg","100GBASE-LR4 and OTN Multirate 10km CFP4 Optical Transceiver",": CFP4 : 10 km 
: 112 Gb/s : 1310nm Band 
: OTN OTU4 Compliant 100G Ethernet Compliant","FTLC1141SDNL","Wavelength","Protocol"
"https://ii-vi.com/product/100gbase-lr4-10km-gen2-cfp2-optical-transceiver/","https://ii-vi.com/wp-content/uploads/2020/04/FTLC1122-300x300.jpg","100GBASE-LR4 10km Gen2 CFP2 Optical Transceiver",": CFP2 : 10 km 
: 103.1 Gb/s : 1310nm Band 
: 100G Ethernet Compliant","FTLC1122RDNL","Wavelength","Protocol"
"https://ii-vi.com/product/100gbase-lr4-and-otu4-dual-rate-10km-gen2-cfp2-optical-transceiver/","https://ii-vi.com/wp-content/uploads/2020/04/FTLC1122-300x300.jpg","100GBASE-LR4 and OTU4 Dual Rate 10km Gen2 CFP2 Optical Transceiver",": CFP2 : 10 km 
: 112 Gb/s : 1310nm Band 
: 100G Ethernet Compliant","FTLC1122SDNL","Wavelength","Protocol"
"https://ii-vi.com/product/100gbase-lr4-10km-gen2-cfp-optical-transceiver-2/","https://ii-vi.com/wp-content/uploads/2020/04/FTLC1183-300x300.jpg","100GBASE-LR4 10km Gen2 CFP Optical Transceiver",": CFP : 10 km 
: 103.1 Gb/s : 1310nm Band 
: 100G Ethernet Compliant","FTLC1183RDNx","Wavelength","Protocol"
"https://ii-vi.com/product/100gbase-lr4-and-otn-multirate-10km-gen2-cfp-optical-transceiver/","https://ii-vi.com/wp-content/uploads/2020/04/FTLC1183-300x300.jpg","100GBASE-LR4 and OTN Multirate 10km Gen2 CFP Optical Transceiver",": CFP : 10 km 
: 112 Gb/s : 1310nm Band 
: OTN OTU4 Compliant, 100G Ethernet Compliant","FTLC1183SDNx","Wavelength","Protocol"
"https://ii-vi.com/product/40ge-300m-swdm4-gen2-qsfp-optical-transceiver/","https://ii-vi.com/wp-content/uploads/2020/04/FTL4S1QE-300x300.jpg","40GE 300m SWDM4 Gen2 QSFP+ Optical Transceiver",": QSFP+ : 300 m 
: 41.2 Gb/s : 850nm Band 
: 40G Ethernet Compliant","FTL4S1QE2C","Wavelength","Protocol"
"https://ii-vi.com/product/40gbase-sr4-150m-gen4-qsfp-optical-transceiver/","https://ii-vi.com/wp-content/uploads/2020/04/FTL410-300x300.jpg","40GBASE-SR4 150m Gen4 QSFP+ Optical Transceiver",": QSFP+ : 150 m 
: 41.2 Gb/s : 850nm Band 
: 10x Fibre Channel Compatible, 40G Ethernet Compliant IB QDR Compatible","FTL410QE4C","Wavelength","Protocol"
"https://ii-vi.com/product/40gbase-sr4-e-temp-gen4-qsfp-optical-transceiver/","https://ii-vi.com/wp-content/uploads/2020/04/FTL410-300x300.jpg","40GBASE-SR4 E-temp Gen4 QSFP+ Optical Transceiver",": QSFP+ : 150 m 
: 41.2 Gb/s : 850nm Band 
: 10x Fibre Channel Compatible, 40G Ethernet Compliant IB QDR Compatible","FTL410QE4N","Wavelength","Protocol"
"https://ii-vi.com/product/40gbase-sr4-10gbase-300m-e-temp-gen4-qsfp-optical-transceiver/","https://ii-vi.com/wp-content/uploads/2020/04/FTL410QD4C-300x300.jpg","40GBASE-SR4/10GBASE 300m E-temp Gen4 QSFP+ Optical Transceiver",": QSFP+ : 300 m 
: 41.2 Gb/s : 850nm Band 
: 10x Fibre Channel Compliant, 40G Ethernet Compliant, IB QDR Compatible","FTL410QD4N","Wavelength","Protocol"
"https://ii-vi.com/product/40gbase-sr4-10gbase-sr-300m-gen4-qsfp-optical-transceiver/","https://ii-vi.com/wp-content/uploads/2020/04/FTL410QD4C-300x300.jpg","40GBASE-SR4/10GBASE-SR 300m Gen4 QSFP+ Optical Transceiver",": QSFP+ : 300 m 
: 41.2 Gb/s : 850nm Band 
: 10x Fibre Channel Compliant, 40G Ethernet Compliant, IB QDR Compatible","FTL410QD4C","Wavelength","Protocol"
"https://ii-vi.com/product/40gbase-sr4-150m-gen3-qsfp-optical-transceiver/","https://ii-vi.com/wp-content/uploads/2020/04/FTL410-300x300.jpg","40GBASE-SR4 150m Gen3 QSFP+ Optical Transceiver",": QSFP+ : 150 m 
: 41.2 Gb/s : 850nm Band 
: 10x Fibre Channel Compatible, 40G Ethernet Compliant, IB QDR Compatible","FTL410QE3C","Wavelength","Protocol"
"https://ii-vi.com/product/40gbase-sr4-10gbase-sr-300m-gen3-qsfp-optical-transceiver/","https://ii-vi.com/wp-content/uploads/2020/04/FTL410-300x300.jpg","40GBASE-SR4/10GBASE-SR 300m Gen3 QSFP+ Optical Transceiver",": QSFP+ : 300 m 
: 41.2 Gb/s : 850nm Band 
: 10x Fibre Channel Compliant, 40G Ethernet Compliant, IB QDR Compatible","FTL410QD3C","Wavelength","Protocol"
"https://ii-vi.com/product/40gbase-sr4-150m-gen2-qsfp-optical-transceiver/","https://ii-vi.com/wp-content/uploads/2020/04/FTL410-300x300.jpg","40GBASE-SR4 150m Gen2 QSFP+ Optical Transceiver",": QSFP+ : 150 m 
: 41.2 Gb/s : 850nm Band 
: 10x Fibre Channel Compatible, 40G Ethernet Compliant, IB QDR Compatible","FTL410QE2C","Wavelength","Protocol"
"https://ii-vi.com/product/40gbase-sr4-4x10gbase-sr-300m-gen2-qsfp-optical-transceiver/","https://ii-vi.com/wp-content/uploads/2020/04/FTL410-300x300.jpg","40GBASE-SR4/4x10GBASE-SR 300m Gen2 QSFP+ Optical Transceiver",": QSFP+ : 300 m 
: 41.2 Gb/s : 850nm Band 
: 10x Fibre Channel Compliant, 40G Ethernet Compliant, IB QDR Compatible","FTL410QD2C","Wavelength","Protocol"
"https://ii-vi.com/product/40gbase-sr4-100m-extended-temperature-qsfp-optical-transceiver/","https://ii-vi.com/wp-content/uploads/2020/04/FTL410-300x300.jpg","40GBASE-SR4 100m Extended Temperature QSFP+ Optical Transceiver",": QSFP+ : 100 m 
: 41.2 Gb/s : 850nm Band 
: 10x Fibre Channel Compliant, 40G Ethernet Compliant, IB QDR Compatible","FTL410QE2N","Wavelength","Protocol"
"https://ii-vi.com/product/40gbase-lr4-2km-gen2-lite-qsfp-optical-transceiver/","https://ii-vi.com/wp-content/uploads/2020/04/FTL4C1Q-300x300.jpg","40GBASE-LR4 2km Gen2 Lite QSFP+ Optical Transceiver",": QSFP+ : 2 km 
: 41.2 Gb/s : 1310nm Band 
: 10 Gigabit Ethernet Compatible 40G Ethernet Compatible IB QDR Compatible","FTL4C1QL2C","Wavelength","Protocol"
"https://ii-vi.com/product/40gbase-lr4-2km-gen2-lite-qsfp-optical-transceiver-3/","https://ii-vi.com/wp-content/uploads/2020/04/FTL4C1Q-300x300.jpg","40GBASE-LR4 2km Gen2 Lite QSFP+ Optical Transceiver",": QSFP+ : 2 km 
: 41.2 Gb/s : 1310nm Band 
: 10 Gigabit Ethernet Compatible, 40G Ethernet Compatible, IB QDR Compatible","FTL4C1QL2L","Wavelength","Protocol"
"https://ii-vi.com/product/25ge-300m-ecpri-long-wavelength-sfp28-optical-transceiver/","https://ii-vi.com/wp-content/uploads/2020/06/FTLF1436-300x300.jpg","25GE 300m eCPRI Long Wavelength SFP28 Optical Transceiver",": SPF28 : 300 m 
: 25.78 Gb/s : 1310nm Band 
: 25G Ethernet Compliant, Wireless CPRI Compliant","FTLF1436W5BTD","Wavelength","Protocol"
"https://ii-vi.com/product/40gbase-lr4-10km-gen2-qsfp-optical-transceiver/","https://ii-vi.com/wp-content/uploads/2020/04/FTL4C1Q-300x300.jpg","40GBASE-LR4 10km Gen2 QSFP+ Optical Transceiver",": QSFP+ : 10 km 
: 41.2 Gb/s : 1310nm Band 
: 40G Ethernet Compatible","FTL4C1QE2C","Wavelength","Protocol"
"https://ii-vi.com/product/25gbase-lr-10km-dual-rate-ecpri-long-wavelength-sfp28-optical-transceiver/","https://ii-vi.com/wp-content/uploads/2020/06/FTLF1436-300x300.jpg","25GBASE-LR 10km Dual-Rate eCPRI Long Wavelength SFP28 Optical Transceiver",": SPF28 : 10 km 
: 25.78 Gb/s : 1310nm Band 
: 25G Ethernet Compliant, Wireless CPRI Compliant","FTLF1436W5BTV","Wavelength","Protocol"
